episode,seed,steps,total_reward,coverage_fraction,valid_action_fraction,reward_exploration,reward_coverage,reward_collision_avoidance,reward_boundary,reward_dynamic_obstacle_avoidance,reward_uav_separation,reward_mission_completion,reward_energy_efficiency,collisions_uav_uav,collisions_uav_static_obstacle,collisions_uav_dynamic_obstacle,collisions_uav_boundary
45,86,500,-566708.0979868374,0.5594059405940595,0.07333333333333333,991.8841760972678,56395.7891529143,-11250.0,-246635.30000000107,-2274.247878321952,-354902.7163438094,0.0,-9033.507093717386,794,12,3,1090
46,87,500,-325689.31412895507,0.1188118811881188,0.014,1110.379007288534,12254.044733746021,-1150.0,-292950.2600000015,-16.481285337868947,-36238.73616522543,0.0,-8698.26041942602,80,1,0,1446
47,88,500,-245919.6211373585,0.69,0.09,1593.7112423359843,58509.31094942523,-21650.0,-194104.0300000007,-4212.727411552499,-77041.02055036482,0.0,-9014.865367202206,172,23,6,977
48,89,500,-241676.77587111652,0.5784313725490197,0.07666666666666666,1654.3290115177167,53142.71375112856,-9800.0,-234856.40000000043,-1973.2534635127108,-41030.38199590808,0.0,-8813.78317434183,92,11,2,1190
49,90,500,-327620.3754973202,0.4577114427860697,0.059333333333333335,2155.2429738930036,33443.618473883405,-26700.0,-181097.91999999995,-3443.5098167555734,-142874.14298637834,0.0,-9103.664141962736,312,18,4,1082
50,91,500,-186013.7212803842,0.695,0.09066666666666667,1161.8072282946569,64742.8482156122,-23000.0,-217456.4000000005,-2245.6477987324092,0.0,0.0,-9216.328925558522,0,17,2,1012
51,92,500,-168384.12404338716,0.7673267326732673,0.10133333333333333,997.1859726157244,70732.35311106403,-11750.0,-218512.18000000066,-945.1466090496212,0.0,0.0,-8906.336518017213,0,14,0,972
52,93,500,-226654.89320979008,0.645320197044335,0.08533333333333333,1259.751336338278,59175.98259943976,-37000.0,-205123.07000000036,-2537.1572837812555,-33615.912606270795,0.0,-8814.48725551586,68,58,3,931
53,94,500,-234147.7003782405,0.715,0.09333333333333334,2059.9819412542547,57505.7420805607,-19750.0,-166461.8599999999,-584.0462764470642,-98092.56918484542,0.0,-8824.948938762678,218,19,0,829
54,95,500,-229338.5298097604,0.74,0.09666666666666666,1576.7436146383045,61538.13746726813,-20200.0,-180771.38000000015,-1315.6713454130766,-81070.02503018719,0.0,-9096.334516066141,174,19,1,898
55,96,500,-583190.5394431814,0.5124378109452736,0.06666666666666667,1357.612078030553,45389.27326622111,-8150.0,-210775.45000000056,-3366.021262000644,-398427.4516178594,0.0,-9218.50190757335,906,5,3,988
56,97,500,-270922.12112456333,0.23383084577114427,0.029333333333333333,1441.0623043154224,8657.202971650056,-6600.0,-215478.1900000011,-2151.3451206179584,-48149.01956669546,0.0,-8641.831713215657,106,9,2,1391
57,98,500,-544914.5990761082,0.39,0.05,597.3150364726282,45460.715477413774,-3500.0,-292195.15000000165,-416.1862405118464,-285076.28296877077,0.0,-9785.010380712187,652,5,0,1293
58,99,500,-595033.983070601,0.15346534653465346,0.018666666666666668,298.33792095230723,24384.298828217954,-3350.0,-317889.7000000021,-2579.882449309245,-286722.406229652,0.0,-9174.631140810587,650,2,4,1406
59,100,500,-245470.6839943067,0.29064039408866993,0.037333333333333336,1379.990560839453,25290.294238846305,-2950.0,-259611.4999999987,-424.2713370531702,0.0,0.0,-9155.197456939117,0,4,0,1405
60,101,500,-159810.77290677308,0.7562189054726368,0.09933333333333333,1818.933305576018,64720.800350769336,-32300.0,-170668.65999999997,-1486.3107808146578,-13624.426981466497,0.0,-8271.108800837095,30,26,2,816
61,102,500,-366733.80583981413,0.815,0.10666666666666667,1212.5213704065634,74149.05197865608,-11700.0,-222734.63000000076,-1566.5161844579213,-197668.2198104115,0.0,-8426.013194007037,452,9,2,1039
62,103,500,-432191.80600598163,0.33497536945812806,0.043333333333333335,1342.9002076190632,33079.517417149036,-20800.0,-235863.20000000077,-99.77174139459594,-201064.70422973818,0.0,-8786.547659617103,446,13,0,1151
63,104,500,-430219.8145389985,0.4900990099009901,0.064,1032.4282138312324,49681.548213560876,-3350.0,-250738.0200000012,-2111.346503729202,-215644.47396420926,0.0,-9089.950498451944,484,2,3,1105
64,105,500,-153311.26210230883,0.72,0.094,1621.4617545223423,61152.86708056067,-16000.0,-189282.26000000082,-1959.1986983917186,0.0,0.0,-8844.13223899977,0,16,2,911
65,106,500,-254405.82257993912,0.83,0.10866666666666666,1376.2151272519004,73549.60608225456,-16350.0,-207023.07000000073,-1585.1604968560275,-95514.1683455538,0.0,-8859.244947035588,218,18,1,959
66,107,500,-237950.83419379714,0.5920398009950248,0.07733333333333334,1553.1380241186107,52627.54618810337,-7700.0,-215127.15000000005,-954.2581107862526,-59626.904454742646,0.0,-8723.20584049027,132,8,1,1021
67,108,500,-271024.4263209651,0.527363184079602,0.06866666666666667,1168.4851185584725,50127.039948783786,-15450.0,-239137.35000000102,-971.3039494362762,-57848.13326755178,0.0,-8913.16417131914,128,9,1,1183
68,109,500,-470068.1931329883,0.5124378109452736,0.06666666666666667,1515.2759239375284,51305.87326622097,-32000.0,-236667.96000000092,-1714.2347410024856,-243205.38104758522,0.0,-9301.766534558876,544,32,2,1119
69,110,500,-250542.4506282474,0.765,0.1,1321.1386491684686,65593.53446841642,-10100.0,-206138.0400000002,-2667.118107061112,-89739.61439363286,0.0,-8812.351245137921,202,8,4,1035
70,111,500,-532586.7353042777,0.4975124378109453,0.06466666666666666,1284.317854061181,45067.35621356096,-11350.0,-229831.23000000094,-2416.653589215165,-325924.18492773786,0.0,-9416.340854946342,746,13,2,1139
71,112,500,-549412.260476523,0.28,0.035333333333333335,1107.9186532954122,29510.370326698878,-14800.0,-269078.1600000014,-1978.9170781995897,-284925.8733764391,0.0,-9247.59900187806,642,1,1,1373
72,113,500,-186181.347400558,0.7114427860696517,0.09333333333333334,1623.2383002719137,61273.682080560604,-33850.0,-177350.97000000003,-4842.77491041162,-24046.758886552314,0.0,-8987.763984426405,52,40,7,830
73,114,500,-445939.16480382753,0.63,0.082,1209.4256436646765,61681.73614671992,-9750.0,-256232.5800000012,-204.71534860540814,-233415.4785157056,0.0,-9227.552729900737,528,9,0,1210
74,115,500,-229389.44335681782,0.505,0.06533333333333333,1821.302556237941,44033.553837323365,-9750.0,-221721.71000000028,-3428.2413583303332,-32019.301032531548,0.0,-8325.047359516964,70,6,5,1118
75,116,500,-566274.4760677852,0.35,0.04466666666666667,667.161205265846,40916.55716870169,-5500.0,-293063.8600000016,-926.9841220181731,-299228.41785446,0.0,-9138.932465275198,676,4,1,1348
76,117,500,-191539.53015654732,0.615,0.08,1260.5835064000812,51932.093599254666,-13600.0,-200957.77000000046,-1629.7430664379374,-19409.837818181662,0.0,-9134.85637758203,40,10,2,1012
77,118,500,-542760.5972879387,0.495,0.064,975.1872754352631,53262.64821356081,-12000.0,-271253.6600000014,-1252.0766345846412,-303239.446082003,0.0,-9253.250060347118,690,15,2,1210
78,119,500,-200125.04092334892,0.6865671641791045,0.09,1353.3049207903875,63553.99094942518,-17400.0,-221660.48000000106,-1440.05957542227,-15654.648395398166,0.0,-8877.148822743784,34,21,2,1030
79,120,500,-453761.29561739345,0.6766169154228856,0.08866666666666667,1588.5847662638569,61393.12884215763,-18800.0,-214323.75000000067,-2351.2477836145176,-272256.06710200215,0.0,-9011.944340198184,610,14,3,1043
80,121,500,-337990.8027983044,0.59,0.07666666666666666,1662.8124521807945,45887.09375112866,-10050.0,-197216.95999999985,-867.8590023737946,-168722.90423849307,0.0,-8682.98576074697,382,12,1,1089
81,122,500,-233666.99816915512,0.665,0.08666666666666667,1881.036379386343,49258.46300955611,-14100.0,-154741.46000000008,-3234.343789588447,-103876.67936606347,0.0,-8854.014402445298,234,6,4,868
82,123,500,-452824.20016305504,0.595,0.07733333333333334,1325.0456114012825,58263.88618810323,-12050.0,-242852.99000000104,-1097.3869987659798,-246932.86533378027,0.0,-9479.889630012985,562,8,0,1113
83,124,500,-621408.9770033065,0.23880597014925373,0.03,570.252607841449,31835.337971650068,-3500.0,-310127.1200000019,-56.692743726912894,-330919.6300663722,0.0,-9211.124772698251,746,2,0,1423
84,125,500,-149331.85585006743,0.6517412935323383,0.08533333333333333,1745.215664158349,51951.50259943992,-14150.0,-178565.93999999997,-902.8745401242717,-808.863754085673,0.0,-8600.895819455342,0,17,1,919
85,126,500,-669732.8009481758,0.527363184079602,0.06866666666666667,1131.428381435573,51715.1799487837,-4600.0,-252106.05000000118,-3710.162453314015,-452860.5264958351,0.0,-9302.670329245762,1034,4,5,1181
86,127,500,-296525.19031228573,0.46766169154228854,0.06066666666666667,1395.8072945105398,45742.95452055462,-8050.0,-253376.1200000009,-906.0598874596993,-72576.34240933848,0.0,-8755.429830552228,158,7,1,1233
87,128,500,-323611.833950031,0.545,0.07066666666666667,1030.6157139731747,48973.651340935656,-9750.0,-222555.0400000003,-1196.1636174775485,-131100.86239139902,0.0,-9014.03499606318,298,9,1,1072
88,129,500,-385330.31239739724,0.4129353233830846,0.05333333333333334,1491.2407399806555,41687.41944282578,-23150.0,-240025.10000000105,-2628.196978684791,-153917.38069750817,0.0,-8788.294904010398,344,29,2,1096
89,130,500,-170997.5366726171,0.6915422885572139,0.09066666666666667,1677.8898503186497,56615.30821561236,-34750.0,-151460.50000000012,-2309.701517948374,-31976.224432192896,0.0,-8794.308788406517,66,43,2,682
90,131,500,-320525.2917191789,0.6435643564356436,0.08466666666666667,1147.4576138457867,59011.59313379089,-25550.0,-218321.71000000063,-1182.0451998610972,-126674.88388473302,0.0,-8955.703382221114,282,23,1,1089
91,132,500,-396702.4523594748,0.24,0.03,786.7924265023213,27320.037971650152,-5300.0,-286276.7900000016,-234.12795984930335,-124147.66136579629,0.0,-8850.703431981345,280,5,0,1375
92,133,500,-568262.9857229982,0.3217821782178218,0.04133333333333333,904.584529982775,37224.909994369766,-3750.0,-281708.7600000014,-116.94735211388769,-311628.55411685136,0.0,-9188.218778385106,710,3,0,1269
93,134,500,-388499.1589838989,0.33,0.042,757.057443840727,39093.65908527884,-2100.0,-292591.7500000017,-647.5633294524999,-123701.95432009237,0.0,-9308.607863473393,280,0,0,1326
94,135,500,-495594.4185705276,0.41,0.05266666666666667,1323.553135050701,41958.45606933181,-4600.0,-269463.8700000014,-2160.2098447035864,-253559.38307515325,0.0,-9092.964855053448,576,4,3,1294
95,136,500,-183762.12081212274,0.681592039800995,0.08933333333333333,1408.2742885834568,61928.799645077364,-17350.0,-219075.4500000003,-2085.759914604903,0.0,0.0,-8587.984831178412,0,13,3,1068
96,137,500,-558075.5542829355,0.4079601990049751,0.05266666666666667,879.6420325019797,44449.65606933178,-7850.0,-275999.24000000133,-385.0917292649835,-309739.4408778399,0.0,-9431.079777664501,702,5,0,1280
97,138,500,-230502.57108405393,0.57,0.074,2383.4146017767957,38320.30599501991,-18250.0,-156151.6699999999,-615.0412541862167,-87387.21844167048,0.0,-8802.361984993373,188,13,1,985
98,139,500,-404974.1315784083,0.675,0.088,1374.7839785046692,56964.572959804784,-16100.0,-201653.69000000015,-275.45375362724394,-235863.5394970831,0.0,-9420.805266007284,534,11,0,1057
99,140,500,-574704.5946748714,0.2871287128712871,0.03666666666666667,1203.7004855220168,30695.407459185248,-2300.0,-270068.6300000013,-1958.0364705554036,-323177.7637405752,0.0,-9099.272408447905,732,2,2,1266
100,141,500,-174990.46635699357,0.801980198019802,0.106,1231.8217431250348,71130.53480074203,-16850.0,-191618.3100000005,-1144.036597630425,-29006.985390308047,0.0,-8733.49091292193,64,17,1,842
101,142,500,-551810.4038383287,0.36318407960199006,0.04666666666666667,1399.762799745123,31673.025621335437,-10900.0,-241901.98000000068,-2233.6886375127424,-320488.81301990204,0.0,-9358.71060199405,724,10,3,1291
102,143,500,-423490.9936654653,0.472636815920398,0.06133333333333333,1163.3099650420609,48045.618731080904,-4250.0,-264863.1900000014,-1514.7402741692172,-192898.87115683215,0.0,-9173.120930586654,434,2,2,1258
103,144,500,-390424.75179884816,0.7425742574257426,0.098,1402.9599882814503,67302.8624874023,-42600.0,-205923.07000000044,-2658.9223637181135,-199195.10485487085,0.0,-8753.47705594283,452,75,3,945
104,145,500,-298059.954289881,0.6,0.078,1576.7922211201746,54696.4961881033,-8800.0,-233384.290000001,-1973.231525217478,-101123.83494226981,0.0,-9051.886231616978,222,7,1,1147
105,146,500,-503933.3878313099,0.5594059405940595,0.07333333333333333,1023.8444257151369,57423.40915291429,-24400.0,-262640.0600000013,-945.7176642254885,-265103.4233414837,0.0,-9291.44040422995,598,43,0,1218
106,147,500,-153803.45482990643,0.7611940298507462,0.1,1854.2371225471413,65842.6544684164,-11400.0,-194988.3799999999,-2920.265937913654,-3713.7785222715383,0.0,-8477.921960684513,8,9,4,909
107,148,500,-563139.9601843905,0.5074626865671642,0.066,1307.4102703179542,50441.51501379381,-15150.0,-238427.1400000011,-3468.5354346822082,-348607.44112077,0.0,-9235.768913049826,792,15,5,1071
108,149,500,-132452.91210460349,0.7512437810945274,0.09866666666666667,1824.6606051374106,61730.237719190416,-25300.0,-150412.19999999958,-804.2877080230253,-10473.326739475273,0.0,-9017.995981432761,22,25,0,659
109,150,500,-556035.4204133913,0.5174129353233831,0.06733333333333333,707.1828603253509,57556.78172775938,-3100.0,-293318.2800000017,-2378.0187530223243,-307065.21203202114,0.0,-8437.874216432536,704,1,2,1321
110,151,500,-353232.07512976404,0.6169154228855721,0.08066666666666666,1109.9971455523576,60569.65488957708,-17700.0,-242627.820000001,-396.1720060812737,-145453.64514794495,0.0,-8734.090010867292,322,21,0,1102
111,152,500,-653443.5656314192,0.20689655172413793,0.026,743.3528666232505,26929.31428914058,-9000.0,-299662.5000000018,-736.2133097960905,-362527.61502276594,0.0,-9189.904454621215,828,3,0,1432
112,153,500,-148853.61029458544,0.7871287128712872,0.104,1307.1174485689912,63910.59943669793,-37250.0,-138922.40999999965,-3825.4710948908255,-24866.308736256222,0.0,-9207.137348705019,52,38,6,651
113,154,500,-485847.5141867036,0.5870646766169154,0.07666666666666666,1249.8216109442828,57875.99375112842,-7100.0,-258033.94000000125,-1329.0125274207587,-269618.9942630904,0.0,-8891.38275826458,610,8,1,1221
114,155,500,-514845.6520104667,0.5099009900990099,0.06666666666666667,1262.1406301131074,48472.13326622107,-5850.0,-250620.34000000104,-282.7515441823788,-299028.17113238433,0.0,-8798.66323023385,678,6,0,1246
115,156,500,-411882.6352096534,0.19801980198019803,0.024666666666666667,1196.0199420077831,14655.610595760665,-14100.0,-250597.22000000108,-794.1467899953803,-153142.43787555743,0.0,-9100.461081868842,332,6,0,1420
116,157,500,-423442.04445763223,0.495,0.064,1717.9819055568628,44948.268213560936,-20300.0,-218574.77000000057,-1330.556693419456,-221073.90535753453,0.0,-8829.06252579589,500,17,1,1071
117,158,500,-187321.09151447166,0.475,0.06133333333333333,1834.9535745821504,36056.71873108099,-7400.0,-199346.89000000054,-563.8467650516116,-8803.611656593534,0.0,-9098.41539848941,16,8,0,1089
118,159,500,-208781.16864498865,0.695,0.09066666666666667,1677.9845525903252,54809.18821561235,-37100.0,-133869.34999999963,-1121.2052915404429,-84211.59692357258,0.0,-8966.18919807795,190,35,1,621
119,160,500,-868221.3813844474,0.515,0.06666666666666667,1099.135899724555,52302.35326622098,-11550.0,-257163.87000000125,-1451.3226915920084,-642458.7413672942,0.0,-8998.936491506594,1478,15,1,1170
120,161,500,-291572.9975426986,0.2835820895522388,0.036,1725.6428966458354,23393.30401090927,-450.0,-257957.7600000021,-2671.0401137582235,-47110.53180299394,0.0,-8502.612533501293,102,0,2,1414
121,162,500,-195150.67761742603,0.63,0.082,1433.216462395233,46111.73614672022,-20950.0,-123639.41999999963,-2535.4057753994134,-86630.81418082994,0.0,-8939.990270311888,196,19,3,562
122,163,500,-406163.99219917424,0.735,0.096,1229.244075711234,65739.6390888897,-18600.0,-208920.3500000004,-836.1073157201624,-235948.29818324128,0.0,-8828.119864813774,530,12,1,1009
123,164,500,-468034.0565992974,0.485,0.06266666666666666,1379.5677616348,41811.883241390286,-15150.0,-201816.27000000043,-1578.4048329544692,-284045.35190440406,0.0,-8635.480864963707,638,12,1,968
124,165,500,-221711.28755727492,0.6865671641791045,0.09,1750.546579156886,60066.310949425206,-14600.0,-188840.0800000002,-1005.1448210504109,-70467.49435213859,0.0,-8615.425912667817,160,11,1,846
125,166,500,-367647.90179462923,0.675,0.088,1177.7194220565327,65652.63295980464,-9550.0,-249208.09000000116,-3962.1808461889686,-162918.99375355136,0.0,-8838.989576750067,372,10,4,1127
126,167,500,-225364.70078040397,0.795,0.104,1150.9414369936308,72100.41943669785,-19850.0,-206253.68000000052,-3049.5304148864802,-61027.55614904714,0.0,-8435.29509016175,136,20,3,919
127,168,500,-499455.6662468686,0.5594059405940595,0.07333333333333333,1382.0902902871424,53904.58915291434,-6900.0,-241347.55000000095,-1886.4771761680965,-295210.5294025357,0.0,-9397.789111366093,670,3,2,1131
128,169,500,-273823.517302951,0.6237623762376238,0.082,1305.9731599516535,58007.216146719984,-30750.0,-201150.96000000037,-3895.87523161942,-88123.23840784014,0.0,-9216.632970162784,194,36,4,891
129,170,500,-776345.7335078289,0.24875621890547264,0.03133333333333333,417.4977311802927,34275.17846144597,-11000.0,-307181.5400000021,-561.9464729012725,-483587.9256617576,0.0,-8706.997565796482,1112,14,1,1360
130,171,500,-718965.3531846231,0.275,0.034666666666666665,1216.5665184311276,29241.488898127438,-6550.0,-278865.2300000015,-854.6500533885256,-453964.05147960025,0.0,-9189.477068192597,1040,4,0,1380
131,172,500,-263274.672051594,0.5,0.066,1405.0605477429658,46549.01501379382,-7150.0,-228286.33000000156,-1562.765377395818,-65146.527459210156,0.0,-9083.124776524828,138,7,2,1088
132,173,500,-568735.0434890167,0.6517412935323383,0.08533333333333333,1517.4424118413854,60110.18259943974,-12850.0,-226310.1400000007,-1375.50624288392,-380504.67628924665,0.0,-9322.34596816665,874,13,2,1076
