2026-08-17 01:48:51,490 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=300 reward=-3324.95 cum_reward=-426878.06 coverage=0.228 valid_action_frac=0.048 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -1728.5, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-20.9)}
2026-08-17 01:48:51,524 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=320 reward=-1992.67 cum_reward=-459142.92 coverage=0.228 valid_action_frac=0.045 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': -7.9, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-9.3)}
2026-08-17 01:48:51,583 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=340 reward=-1601.24 cum_reward=-492376.79 coverage=0.228 valid_action_frac=0.042 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-25.7)}
2026-08-17 01:48:51,629 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=360 reward=-1587.72 cum_reward=-527816.24 coverage=0.228 valid_action_frac=0.040 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-12.2)}
2026-08-17 01:48:51,665 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=380 reward=-1601.68 cum_reward=-565043.93 coverage=0.228 valid_action_frac=0.038 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-26.2)}
2026-08-17 01:48:51,701 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=400 reward=-1991.99 cum_reward=-605176.93 coverage=0.228 valid_action_frac=0.036 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-16.5)}
2026-08-17 01:48:51,734 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=420 reward=-1606.39 cum_reward=-640765.60 coverage=0.228 valid_action_frac=0.034 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-30.9)}
2026-08-17 01:48:51,774 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=440 reward=-2025.20 cum_reward=-671007.52 coverage=0.233 valid_action_frac=0.033 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': -33.6, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-16.1)}
2026-08-17 01:48:51,806 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=460 reward=-1598.35 cum_reward=-702837.50 coverage=0.233 valid_action_frac=0.032 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-22.8)}
2026-08-17 01:48:51,839 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=480 reward=-1600.07 cum_reward=-735149.34 coverage=0.233 valid_action_frac=0.030 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-24.6)}
