time/iterations,custom/collisions_uav_uav_mean,custom/valid_action_fraction_mean,rollout/ep_len_mean,time/total_timesteps,custom/collisions_uav_static_obstacle_mean,custom/reward_exploration_mean,time/fps,time/time_elapsed,custom/reward_energy_efficiency_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,custom/reward_coverage_mean,custom/coverage_fraction_mean,custom/reward_boundary_mean,custom/reward_collision_avoidance_mean,rollout/ep_rew_mean,custom/reward_dynamic_obstacle_avoidance_mean,custom/reward_uav_separation_mean,custom/reward_mission_completion_mean,custom/reward_total_mean,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
18,11.28,0.05644314612420622,500.0,36864,2.25,0.25837789661319077,178,206,-16.51086513535268,0.29,499.06,-4.0482,0.18645633220038418,-650.2379000000002,0.0,-300067.616582125,-8.715356953209078,-54.302422560270244,0.0,-733.5563667522189,0.60546875,170,0.11569218,0.0003,0.2,0.4246065020561218,0.013496662965189898,-0.11925911395519506,-4.517102843523025,-0.19727885723114014,,
19,10.54,0.05523136539606572,500.0,38912,5.5,0.23507541478129712,182,213,-18.478964714793456,0.76,531.35,-4.0482,0.1923231966053748,-650.2379000000002,0.0,-300031.90796100005,-9.771728935054421,-29.938794090609644,0.0,-712.2405123256764,0.593603515625,180,0.11020273,0.0003,0.2,0.7000775933265686,0.0122373339952901,-0.11651391234481707,-4.473638170957566,-0.19102846086025238,,
,,,,40000,,,,,,,,,,,,,,,,,0.612548828125,190,0.11819425,0.0003,0.2,0.7066024541854858,0.01186791756990715,-0.11944233672402334,-4.456570881605148,-0.1960018426179886,-323906.7479084,500.0
20,11.2,0.06323305419161437,500.0,40960,3.25,0.0626129426129426,175,233,-18.98340225075953,0.29,534.26,2.622753191489362,0.2303569306930693,-656.2447000000002,0.0,-300422.7583076625,-8.142312305099818,-17.82651477684807,0.0,-698.511563198605,,,,,,,,,,,,
21,61.36,0.08653651280423835,500.0,43008,2.0,0.11807692307692307,179,240,-16.816619543541663,1.0,537.57,-3.4254,0.32276733892601084,-653.7413000000001,0.0,-300678.8552806072,0.0,-150.7483641216132,0.0,-824.6136067420779,0.6255859375,200,0.12049468,0.0003,0.2,0.6390160322189331,0.011699505066644633,-0.11821247590123676,-4.444636678695678,-0.19489550590515137,,
22,16.74,0.07049426957108845,500.0,45056,6.25,0.08769480519480519,182,246,-16.206470062924595,0.75,589.09,3.4689512195121956,0.2784014983367318,-659.7481000000002,0.0,-300728.3511211364,0.0,-63.70660029942964,0.0,-736.104524337647,0.615087890625,210,0.12840678,0.0003,0.2,0.5922789573669434,0.013259317912888946,-0.11195245268754661,-4.437684935331345,-0.18795204162597656,,
23,23.06,0.08449116713890227,500.0,47104,4.05,0.11213489941431119,185,253,-17.23210493421235,1.75,576.44,-1.1737058823529396,0.34732710211319634,-625.7209000000001,-18.0,-301111.3257092391,-0.3109690844448341,-239.7679237881743,0.0,-902.0934687897701,0.61875,220,0.13410017,0.0003,0.2,0.8415749073028564,0.011449878519852064,-0.11665099096135237,-4.410269689559937,-0.19450698792934418,,
24,16.32,0.04150805304177698,500.0,49152,2.5,0.10398154477101848,188,260,-16.234416144405806,1.5,696.14,3.664543734015347,0.1850065723287922,-636.4760000000002,0.0,-300119.30129665625,-1.2599325826827041,-56.49420900801164,0.0,-706.6960324563137,0.634130859375,230,0.1369695,0.0003,0.2,0.8663536310195923,0.011614390444083255,-0.11885343611938878,-4.379275971651078,-0.19457602500915527,,
,,,,50000,,,,,,,,,,,,,,,,,0.6228515625,240,0.13076268,0.0003,0.2,0.7968809604644775,0.011563823457981926,-0.11591656320379115,-4.353265273571014,-0.19226059317588806,-292445.9074724,500.0
25,30.28,0.04748348735260717,500.0,51200,6.5,0.4443499147910912,185,275,-15.995447028936233,2.0,692.59,-12.144599999999999,0.21937189054726366,-576.6801000000002,-12.0,-300555.6759354,0.0,-47.53783322007284,0.0,-663.9136303342179,,,,,,,,,,,,
