2026-08-28 00:19:27,888 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 52/200: reward=-226654.89 coverage=0.645 epsilon=0.050 mean_loss=335609.5001
2026-08-28 00:19:30,057 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 53/200: reward=-234147.70 coverage=0.715 epsilon=0.050 mean_loss=485020.9450
2026-08-28 00:19:32,521 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 54/200: reward=-229338.53 coverage=0.740 epsilon=0.050 mean_loss=471289.4131
2026-08-28 00:19:34,786 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 55/200: reward=-583190.54 coverage=0.512 epsilon=0.050 mean_loss=1012975.8652
2026-08-28 00:19:37,257 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 56/200: reward=-270922.12 coverage=0.234 epsilon=0.050 mean_loss=652865.4681
2026-08-28 00:19:39,598 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 57/200: reward=-544914.60 coverage=0.390 epsilon=0.050 mean_loss=1097350.1132
2026-08-28 00:19:41,914 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 58/200: reward=-595033.98 coverage=0.153 epsilon=0.050 mean_loss=1122828.7429
2026-08-28 00:19:44,224 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 59/200: reward=-245470.68 coverage=0.291 epsilon=0.050 mean_loss=965130.0126
2026-08-28 00:19:46,513 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 60/200: reward=-159810.77 coverage=0.756 epsilon=0.050 mean_loss=445339.3930
2026-08-28 00:19:49,220 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 61/200: reward=-366733.81 coverage=0.815 epsilon=0.050 mean_loss=872772.2974
2026-08-28 00:19:51,500 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 62/200: reward=-432191.81 coverage=0.335 epsilon=0.050 mean_loss=1090379.5534
2026-08-28 00:19:53,802 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 63/200: reward=-430219.81 coverage=0.490 epsilon=0.050 mean_loss=928126.5776
2026-08-28 00:19:56,083 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 64/200: reward=-153311.26 coverage=0.720 epsilon=0.050 mean_loss=767138.0658
2026-08-28 00:19:58,281 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 65/200: reward=-254405.82 coverage=0.830 epsilon=0.050 mean_loss=506950.3367
2026-08-28 00:20:00,600 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 66/200: reward=-237950.83 coverage=0.592 epsilon=0.050 mean_loss=680302.9370
2026-08-28 00:20:02,809 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 67/200: reward=-271024.43 coverage=0.527 epsilon=0.050 mean_loss=538310.8536
2026-08-28 00:20:05,329 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 68/200: reward=-470068.19 coverage=0.512 epsilon=0.050 mean_loss=716704.0358
2026-08-28 00:20:07,444 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 69/200: reward=-250542.45 coverage=0.765 epsilon=0.050 mean_loss=527219.3177
2026-08-28 00:20:09,767 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 70/200: reward=-532586.74 coverage=0.498 epsilon=0.050 mean_loss=1020270.3117
2026-08-28 00:20:11,980 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 71/200: reward=-549412.26 coverage=0.280 epsilon=0.050 mean_loss=1473036.4006
2026-08-28 00:20:14,360 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 72/200: reward=-186181.35 coverage=0.711 epsilon=0.050 mean_loss=978028.0040
2026-08-28 00:20:16,586 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 73/200: reward=-445939.16 coverage=0.630 epsilon=0.050 mean_loss=805608.1853
2026-08-28 00:20:18,908 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 74/200: reward=-229389.44 coverage=0.505 epsilon=0.050 mean_loss=846063.1915
2026-08-28 00:20:21,235 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 75/200: reward=-566274.48 coverage=0.350 epsilon=0.050 mean_loss=905116.5989
2026-08-28 00:20:23,480 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 76/200: reward=-191539.53 coverage=0.615 epsilon=0.050 mean_loss=775393.8973
2026-08-28 00:20:25,781 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 77/200: reward=-542760.60 coverage=0.495 epsilon=0.050 mean_loss=1064382.0980
2026-08-28 00:20:27,935 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 78/200: reward=-200125.04 coverage=0.687 epsilon=0.050 mean_loss=641793.3984
2026-08-28 00:20:30,335 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 79/200: reward=-453761.30 coverage=0.677 epsilon=0.050 mean_loss=738571.3110
2026-08-28 00:20:32,637 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 80/200: reward=-337990.80 coverage=0.590 epsilon=0.050 mean_loss=905451.7271
2026-08-28 00:20:34,823 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 81/200: reward=-233667.00 coverage=0.665 epsilon=0.050 mean_loss=826825.6538
2026-08-28 00:20:37,222 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 82/200: reward=-452824.20 coverage=0.595 epsilon=0.050 mean_loss=859579.3601
2026-08-28 00:20:39,374 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 83/200: reward=-621408.98 coverage=0.239 epsilon=0.050 mean_loss=884418.0056
2026-08-28 00:20:41,712 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 84/200: reward=-149331.86 coverage=0.652 epsilon=0.050 mean_loss=877045.1312
2026-08-28 00:20:43,926 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 85/200: reward=-669732.80 coverage=0.527 epsilon=0.050 mean_loss=863413.5158
