custom/reward_coverage_mean,custom/reward_uav_separation_mean,custom/coverage_fraction_mean,custom/reward_dynamic_obstacle_avoidance_mean,rollout/ep_rew_mean,custom/reward_energy_efficiency_mean,custom/collisions_uav_uav_mean,time/total_timesteps,custom/collisions_uav_dynamic_obstacle_mean,custom/valid_action_fraction_mean,custom/reward_collision_avoidance_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,custom/reward_total_mean,custom/reward_exploration_mean,custom/reward_mission_completion_mean,custom/reward_boundary_mean,custom/collisions_uav_static_obstacle_mean,custom/collisions_uav_boundary_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction
,,,,,,,120000,,,,,,,,,,,,,,-0.11500364870153135,0.0003,0.15136994,140,-0.1877388209104538,500.0,-305931.1528624,0.003707519687259264,0.2,0.8911636471748352,-4.19285834133625,0.65113525390625
-2.8026,-9.38490646053649,0.2667493596374563,-3.355871612354955,-294607.07787204,-17.612114844748234,4.3,122880,0.25,0.08102696873021807,0.0,73,15,1673,500.0,-688.3502345426814,0.04995837495837496,0.0,-655.2447000000002,3.5,446.84,,,,,,,,,,,,
,,,,,,,130000,,,,,,,,,,,,,,-0.11459302269067848,0.0003,0.15206586,150,-0.19490154087543488,500.0,-348802.13299159997,0.0035457598318771487,0.2,0.8996308445930481,-4.176830105483532,0.65255126953125
0.17417659208261668,-27.118786606882455,0.2625468572976701,-4.785164520398915,-292011.03439855,-16.126746181775584,6.68,131072,1.0,0.06486648922999114,0.0,73,16,1794,500.0,-660.4614886379422,0.35403207903207906,0.0,-612.9590000000002,4.0,608.01,,,,,,,,,,,,
-10.899000000000001,-54.417130544667025,0.23293719211822658,-0.7830102344690059,-290486.45818137005,-17.112267196386593,19.56,139264,0.25,0.047998510809663275,0.0,73,17,1886,500.0,-685.7329698058492,0.1789381696734638,0.0,-602.7005,9.0,702.52,-0.11248978710063966,0.0003,0.14791787,160,-0.18984554708003998,,,0.003574064441909286,0.2,0.8549906015396118,-4.114034335315227,0.64532470703125
,,,,,,,140000,,,,,,,,,,,,,,-0.10936404939493513,0.0003,0.1483769,170,-0.19015717506408691,500.0,-271491.54396920005,0.003989723274980861,0.2,0.8979069590568542,-4.092216102778911,0.64515380859375
-0.6228,-38.187961294753784,0.236222538298606,-0.887471966067252,-288378.93140933005,-17.97951694786942,12.58,147456,1.0,0.04215785022683788,-1.5,73,18,2007,500.0,-727.903104754145,0.029545454545454545,0.0,-668.7549,5.0,876.55,,,,,,,,,,,,
,,,,,,,150000,,,,,,,,,,,,,,-0.11661022405460245,0.0003,0.1620216,180,-0.18770836293697357,500.0,-273894.4597638,0.0036820814558723215,0.2,0.9037930369377136,-4.0462955862283705,0.6590087890625
-10.587599999999998,-116.76078240087071,0.25762918960687725,-2.368653088731865,-287132.25971698,-17.202147482121138,30.52,155648,1.0,0.04084661191889177,-1.5,73,19,2128,500.0,-749.561710139817,0.5579728319066555,0.0,-601.7005000000001,3.5,983.73,,,,,,,,,,,,
,,,,,,,160000,,,,,,,,,,,,,,-0.11635367733979365,0.0003,0.1702472,190,-0.18830345571041107,500.0,-363309.7138544,0.003057164215579178,0.2,0.9038653373718262,-3.99849332049489,0.6628662109375
0.0,-46.37967120002697,0.23941710347505343,-0.018816869968355476,-284471.00448128,-16.498335043584877,40.94,163840,1.25,0.03367688183873387,0.0,72,20,2247,500.0,-738.4068231135802,0.0,0.0,-675.51,4.5,1154.5,,,,,,,,,,,,
,,,,,,,170000,,,,,,,,,,,,,,-0.11789802704151953,0.0003,0.17329368,200,-0.18836453557014465,500.0,-307406.5532838,0.003062814183249429,0.2,0.9099664688110352,-3.9442094422876837,0.66485595703125
531.5270411588411,-0.30557280900008404,0.16654445840106402,-2.806985919285409,-285066.50393196003,-16.2830117390662,14.28,172032,0.68,0.1720775945654597,-10.0,72,21,2369,500.0,36.2967004964978,3.518829805008261,0.0,-469.35360000000003,2.09,875.23,,,,,,,,,,,,
,,,,,,,180000,,,,,,,,,,,,,,-0.11493879395275144,0.0003,0.16281706,210,-0.18947871029376984,500.0,-272674.3531206,0.003144885670326403,0.2,0.9312513470649719,-3.94389753267169,0.65052490234375
172.6858525695303,-9.291766786806203,0.1734198044188655,-7.401297830653741,-283767.79914899,-17.021602295866593,0.6,180224,0.1,0.24505742659131258,-10.0,72,22,2483,500.0,-316.1212522149389,2.744162128857292,0.0,-447.83660000000003,2.06,54.17,,,,,,,,,,,,
15.773845449308755,-9.727248047407494,0.2297959760023412,-2.4954542906614274,-281334.804322,-16.71318545484893,0.28,188416,0.0,0.1578546794255483,-47.5,73,23,2574,500.0,-666.4294488845828,0.43649345902635384,0.0,-606.2039000000001,7.06,143.25,-0.11911648438544944,0.0003,0.1775884,220,-0.19230131804943085,,,0.0027769362213348357,0.2,0.9089173674583435,-3.893432132154703,0.66793212890625
,,,,,,,190000,,,,,,,,,,,,,,-0.11794012574264343,0.0003,0.19374298,230,-0.18932437896728516,500.0,-333604.285839,0.002614045915788665,0.2,0.9238623976707458,-3.8398608386516573,0.67752685546875
12.294239121474051,0.0,0.2039851485148515,-1.6799531933556966,-283238.04735619,-17.64932251815787,4.0,196608,0.5,0.09054141595758558,0.0,72,24,2695,500.0,-662.8215742288713,0.20646236116824354,0.0,-655.9930000000002,2.25,298.14,,,,,,,,,,,,
,,,,,,,200000,,,,,,,,,,,,,,-0.1073753559612669,0.0003,0.17416337,240,-0.17927990853786469,500.0,-237772.70116340002,0.003518390285989881,0.2,0.8735832571983337,-3.8309132531285286,0.6569580078125
21.00473693327482,-130.85429403887164,0.31724102260972364,-0.06401888346875291,-285275.37444596,-17.747637395203537,15.32,204800,0.25,0.10794381314187251,-3.0,74,25,2762,500.0,-707.2271427658079,0.869270618461122,0.0,-577.4352000000001,3.75,365.21,,,,,,,,,,,,
,,,,,,,210000,,,,,,,,,,,,,,-0.1176119277588441,0.0003,0.19221127,250,-0.19291414320468903,500.0,-266618.3269136,0.003711460830345459,0.2,0.9241636991500854,-3.795780135691166,0.6697021484375
-5.04102857142857,-38.70390212783542,0.30962085029177866,-6.151654794723457,-288420.1036519,-17.511290493926275,8.04,212992,1.25,0.08401534453245668,-23.5,75,26,2833,500.0,-686.7432356750863,0.3617403128272694,0.0,-596.1971000000001,8.89,443.52,,,,,,,,,,,,
,,,,,,,220000,,,,,,,,,,,,,,-0.11559403285646112,0.0003,0.18423554,260,-0.17994606494903564,500.0,-243845.7538522,0.0032336050182948384,0.2,0.8816077709197998,-3.74618136882782,0.672509765625
-3.280531034482757,-1.3608101802464956,0.2927970986650904,-1.6820404860637455,-282115.87042845995,-15.580734217161803,10.0,221184,1.25,0.06551040613345283,-14.0,76,27,2875,500.0,-640.4960431520481,0.10857276590686203,0.0,-604.7005000000001,7.43,640.76,,,,,,,,,,,,
25.915450605249216,-0.3862382894898546,0.3946533249593616,-5.604704509521193,-282760.6696696,-19.965845313358987,19.5,229376,2.25,0.07659445633786702,-26.0,78,28,2914,500.0,-515.812389821388,1.3444476857328518,0.0,-491.11550000000005,9.21,678.86,-0.1192896268221375,0.0003,0.20561051,270,-0.18021723628044128,,,0.002342918283693507,0.2,0.9239370226860046,-3.699123617261648,0.68441162109375
,,,,,,,230000,,,,,,,,,,,,,,-0.11512514402129455,0.0003,0.22503757,280,-0.18054944276809692,500.0,-260475.77064299997,0.002588440245608581,0.2,0.8830803632736206,-3.682126669585705,0.675927734375
-8.0964,-0.4496074191725484,0.3808144918969509,-7.402418067009457,-279401.42371303996,-18.68929850161039,9.5,237568,2.45,0.06449691690981287,0.0,78,29,3013,500.0,-660.4816314358999,0.12189255189255191,0.0,-625.9658000000002,7.75,820.49,,,,,,,,,,,,
,,,,,,,240000,,,,,,,,,,,,,,-0.118930353000178,0.0003,0.2287367,290,-0.18174351751804352,500.0,-266749.7017236,0.002684597959341772,0.2,0.9210155606269836,-3.6615251578390597,0.69749755859375
-1.381863157894736,-44.95705253820766,0.3482460396039604,-0.5369648295940029,-274610.8689499099,-17.64529969678928,69.82,245760,0.75,0.052248900794339005,-11.5,79,30,3102,500.0,-692.7819853644027,0.20499485808309337,0.0,-616.9658000000002,5.13,989.02,,,,,,,,,,,,
,,,,,,,250000,,,,,,,,,,,,,,-0.11884822174033616,0.0003,0.21931744,300,-0.18427999317646027,500.0,-292829.3098696,0.0027646483038552107,0.2,0.9199131727218628,-3.630734361708164,0.6786376953125
-0.9342,-49.34882445367297,0.2759636840549727,0.0,-271426.62414332,-17.798701872287786,40.04,253952,2.25,0.03677314699335653,0.0,80,31,3163,500.0,-736.8166263259608,0.019999999999999997,0.0,-668.7549,6.5,1187.45,,,,,,,,,,,,
,,,,,,,260000,,,,,,,,,,,,,,-0.11531752730079461,0.0003,0.2125884,310,-0.18598783016204834,500.0,-240008.877942,0.002868748488572237,0.2,0.9166793823242188,-3.6027782343328,0.67718505859375
620.5972973094197,0.0,0.14126233538191393,-2.9211091170409555,-267421.09347257996,-17.070202756752746,0.0,262144,0.75,0.35322672705468855,-61.5,81,32,3208,500.0,426.64562233091914,8.621236895293126,0.0,-121.0816,1.72,7.67,,,,,,,,,,,,
,,,,,,,270000,,,,,,,,,,,,,,-0.1216219353635097,0.0003,0.22212583,320,-0.18943016231060028,500.0,-313775.20650820003,0.0024294668231959805,0.2,0.9312851428985596,-3.5502986878156664,0.689794921875
56.831375812770375,-27.40992715654368,0.20925447761194033,-1.644972980046711,-271376.54065867007,-18.39081817872052,1.18,270336,0.25,0.1815197074784633,-43.0,83,33,3251,500.0,-438.61530471308686,2.2982377894536326,0.0,-407.2992,3.55,86.72,,,,,,,,,,,,
55.23163321324334,-65.58848715408662,0.2665627976296637,-8.075343936587496,-267103.77888134005,-17.117019691251528,4.26,278528,0.82,0.14140027582160467,-10.0,84,34,3287,500.0,-593.1913473848876,1.0175701837946083,0.0,-548.6597,3.99,228.15,-0.12094348111568251,0.0003,0.23237464,330,-0.19048117101192474,,,0.0023221193996505463,0.2,0.9389498233795166,-3.560314927250147,0.68900146484375
,,,,,,,280000,,,,,,,,,,,,,,-0.12106431000574958,0.0003,0.24273199,340,-0.19358153641223907,500.0,-309319.5565354,0.002298351348235883,0.2,0.9258766174316406,-3.5630426071584225,0.6943603515625
13.57738183646186,-11.202727820147418,0.28106094527363185,-13.021044575513642,-267249.97211645,-18.650384946991704,4.4,286720,0.64,0.10616495335136555,-51.5,85,35,3337,500.0,-514.2707422820117,1.3490332241792395,0.0,-434.823,8.69,272.05,,,,,,,,,,,,
,,,,,,,290000,,,,,,,,,,,,,,-0.12202966576442123,0.0003,0.24889538,350,-0.1833541989326477,500.0,-283905.0449440001,0.0020407472735314513,0.2,0.8797464370727539,-3.535135917365551,0.69876708984375
-8.121224999999997,-55.46565982852866,0.30655566502463055,-1.928125658997273,-265922.61897229997,-18.370425256396455,9.5,294912,0.5,0.09032981665917869,-20.5,87,36,3380,500.0,-664.3344311130012,0.47260463092119437,0.0,-560.4216,3.09,437.41,,,,,,,,,,,,
,,,,,,,300000,,,,,,,,,,,,,,-0.12278115189110395,0.0003,0.25588593,360,-0.19210968911647797,500.0,-335781.91089460003,0.002168280817659252,0.2,0.9273679256439209,-3.515293086320162,0.68553466796875
2.107543734015347,-17.27729231382221,0.36411014018577065,-2.2106621441119922,-262422.66965945996,-16.910174793202405,11.06,303104,0.5,0.0888473049008995,-8.5,88,37,3427,500.0,-658.8014528830886,0.451532634032634,0.0,-616.4624000000001,4.76,550.53,,,,,,,,,,,,
,,,,,,,310000,,,,,,,,,,,,,,-0.11777960803301539,0.0003,0.24531777,370,-0.1859634965658188,500.0,-322566.14616,0.002081918459816734,0.2,0.9149138331413269,-3.4544696882367134,0.69129638671875
4.214545449308758,0.0,0.3503530340906306,-0.7908337827433255,-262374.65219718,-17.61031246079475,14.5,311296,0.25,0.07213677766868704,0.0,89,38,3489,500.0,-612.5417464972534,0.34535429697581405,0.0,-598.7005000000001,1.5,680.17,,,,,,,,,,,,
-2.889699999999999,-17.78793634891893,0.29979937963067593,-0.6912183060410239,-258052.05709213007,-16.38570957480133,20.5,319488,0.75,0.05330716387783608,0.0,90,39,3533,500.0,-660.8080081224698,0.16405610729140144,0.0,-623.2175000000002,1.25,819.97,-0.11664341035648249,0.0003,0.23633102,380,-0.18379269540309906,,,0.0024693603289506426,0.2,0.9157856702804565,-3.4785219483077525,0.690478515625
,,,,,,,320000,,,,,,,,,,,,,,-0.11283015409862855,0.0003,0.24671341,390,-0.18169501423835754,500.0,-275914.3800674,0.002218326040156171,0.2,0.912479817867279,-3.4427061676979065,0.69117431640625
9.180239121474052,-61.19636349152522,0.30849522021167636,-7.925119281094834,-261157.20566465997,-16.542886964136464,24.68,327680,1.1,0.04840137688337538,0.0,91,40,3578,500.0,-708.4053614261383,0.5547691891441892,0.0,-632.4760000000002,6.75,1006.27,,,,,,,,,,,,
,,,,,,,330000,,,,,,,,,,,,,,-0.11470384919375647,0.0003,0.24846935,400,-0.17937925457954407,500.0,-301000.2064226,0.0027128624340093666,0.2,0.8993915319442749,-3.4250453270971777,0.68836669921875
12.685057599650685,-18.14356688239745,0.37435839037125407,-2.590450249727669,-260500.54596750997,-16.994818188953797,14.72,335872,1.0,0.053234199746934496,0.0,92,41,3621,500.0,-661.7880281487787,0.23514957264957265,0.0,-636.9794000000003,12.0,1002.28,,,,,,,,,,,,
,,,,,,,340000,,,,,,,,,,,,,,-0.1191107583057601,0.0003,0.25567168,410,-0.188094824552536,500.0,-262751.4623764,0.0019738735843930046,0.2,0.9247156381607056,-3.4333327911794185,0.69547119140625
706.9442570140621,-19.047449020474634,0.1780990985665731,-3.9062059215547458,-259651.44403984002,-16.70994668024883,7.0,344064,0.36,0.3304307581784378,-45.0,93,42,3665,500.0,394.2221066776984,7.118251285914397,0.0,-235.17680000000001,3.35,390.72,,,,,,,,,,,,
,,,,,,,350000,,,,,,,,,,,,,,-0.11956556146324146,0.0003,0.2812666,420,-0.18589702248573303,500.0,-291825.16716,0.0021058016399365443,0.2,0.9155682921409607,-3.435657149553299,0.7060791015625
177.36357514843223,0.0,0.21747437810945275,-7.5307519608409965,-258245.30779678005,-16.524336009140953,0.0,352256,0.27,0.26287705395519223,-37.5,94,43,3708,500.0,-191.4685958637786,3.7024169577711437,0.0,-310.9795,3.7,37.46,,,,,,,,,,,,
,,,,,,,360000,,,,,,,,,,,,,,-0.11864360544568626,0.0003,0.25586864,430,-0.1815357655286789,500.0,-267957.24696039996,0.002092836993142555,0.2,0.9230397343635559,-3.378615267574787,0.6988525390625
65.29366708081719,-22.004796049035882,0.2389975247524752,-4.677960294349889,-256294.58125337,-16.294056999609996,5.3,360448,0.0,0.15091162458220664,-23.0,96,44,3753,500.0,-453.1197652843496,1.896580977828875,0.0,-454.3332,1.43,145.54,,,,,,,,,,,,
0.8204142857142875,-80.67329824623327,0.24843302687411598,0.0,-261969.25539063997,-18.268617420769207,5.8,368640,0.75,0.10608372441208778,-15.5,97,45,3784,500.0,-748.0338625534495,0.31533882783882783,0.0,-634.7277000000001,2.43,283.19,-0.12151211511227303,0.0003,0.26363674,440,-0.18473033607006073,,,0.002076091057915619,0.2,0.9126458168029785,-3.331406734138727,0.6993408203125
,,,,,,,370000,,,,,,,,,,,,,,-0.12008616689272458,0.0003,0.2723651,450,-0.18836385011672974,500.0,-335230.2542796,0.002485107854136004,0.2,0.902097761631012,-3.338753767311573,0.69637451171875
-6.807248780487803,-90.9506728304988,0.32619970256463754,-0.663904225029254,-260363.83089354,-17.493289345717535,16.28,376832,0.25,0.10711136389243327,-3.0,98,46,3828,500.0,-706.6209229739411,0.2327922077922078,0.0,-587.9386000000002,6.75,340.82,,,,,,,,,,,,
,,,,,,,380000,,,,,,,,,,,,,,-0.11530871929426212,0.0003,0.25360447,460,-0.17930684983730316,500.0,-295609.3346156,0.0021242861789232846,0.2,0.9176962375640869,-3.349727899581194,0.6944580078125
15.871383524862877,-80.26806574310287,0.35903300492610835,-6.057544023711585,-260137.76177968003,-16.558895423716514,3.46,385024,1.21,0.09443380453919077,-1.5,99,47,3872,500.0,-669.7110523286326,0.48896933703551343,0.0,-581.6869000000002,9.0,404.2,,,,,,,,,,,,
,,,,,,,390000,,,,,,,,,,,,,,-0.12059841108130058,0.0003,0.27819663,470,-0.18477541208267212,500.0,-281392.3341734,0.0018985878079547547,0.2,0.9309072494506836,-3.295444508641958,0.70364990234375
-5.509592163009403,0.0,0.41620707675762025,-1.9806716661747763,-260671.17565398998,-16.11188424504637,3.5,393216,1.25,0.09244803590584663,-53.5,100,48,3915,500.0,-608.1604470097086,1.0912010645219186,0.0,-532.1495000000001,11.54,519.29,,,,,,,,,,,,
,,,,,,,400000,,,,,,,,,,,,,,-0.11789094910054701,0.0003,0.2864632,480,-0.18432722985744476,500.0,-246911.38287260002,0.0017592031933418184,0.2,0.9123450517654419,-3.247567667812109,0.69915771484375
-1.8804860784818045,-82.09531298221397,0.4912323509021735,-0.2202528435300467,-261298.81079484004,-19.448065271221004,10.24,401408,2.25,0.09439054662651719,-23.0,101,49,3957,500.0,-670.9609956408646,1.0911215345822125,0.0,-545.408,14.43,604.08,,,,,,,,,,,,
10.084942075249488,-2.4158899336486077,0.3710351485148514,-0.21947640820525657,-255595.98509634996,-18.30232740133602,54.5,409600,1.5,0.061366438868878805,-12.5,102,50,3992,500.0,-621.5864717954117,0.21507987252872166,0.0,-598.4488,10.71,879.67,-0.1229716145338898,0.0003,0.29667023,490,-0.18520556390285492,,,0.0017547255142289942,0.2,0.930525541305542,-3.3089896596968176,0.7150146484375
,,,,,,,410000,,,,,,,,,,,,,,-0.12101109729264863,0.0003,0.2917384,500,-0.18537300825119019,500.0,-233172.6357252,0.0015859932785133423,0.2,0.9414175748825073,-3.265032509714365,0.70645751953125
-1.5437792576473175,-2.043743669949371,0.433409668807113,-3.4837423250443185,-251246.03116669002,-16.620658166116353,30.0,417792,1.75,0.06449637767546576,-4.5,103,51,4033,500.0,-588.107676610337,0.5058468084203378,0.0,-560.4216000000001,11.0,906.79,,,,,,,,,,,,
,,,,,,,420000,,,,,,,,,,,,,,-0.1232715945719974,0.0003,0.29100448,510,-0.18511804938316345,500.0,-253017.32407260002,0.001556453930106727,0.2,0.9447407722473145,-3.321255450695753,0.716357421875
-4.3595999999999995,-53.74536227068558,0.33905426684312423,-6.139974473729857,-244739.66184267003,-16.47256434640999,46.38,425984,0.13,0.04494799582079105,0.0,104,52,4075,500.0,-725.621536588661,0.08216450216450216,0.0,-644.9862000000002,5.25,1183.27,,,,,,,,,,,,
,,,,,,,430000,,,,,,,,,,,,,,-0.12100979641254525,0.0003,0.28410292,520,-0.18303295969963074,500.0,-249748.2862778,0.0015459250296771642,0.2,0.9406617283821106,-3.266334792226553,0.705029296875
