2026-08-27 11:49:45,641 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 6: reward=-314262.63 coverage=0.143 collisions={'uav_uav': 0, 'uav_static_obstacle': 2, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1447}
2026-08-27 11:49:51,436 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 7: reward=-563441.62 coverage=0.095 collisions={'uav_uav': 534, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1468}
2026-08-27 11:49:57,129 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 8: reward=-682297.83 coverage=0.030 collisions={'uav_uav': 776, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1483}
2026-08-27 11:50:02,946 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 9: reward=-250554.43 coverage=0.385 collisions={'uav_uav': 16, 'uav_static_obstacle': 17, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1144}
2026-08-27 11:50:02,948 | INFO    | uav_swarm_ppo.ppo.evaluate | Evaluation over 10 episodes: reward mean=-380472.49 std=146955.30 | coverage mean=0.249 std=0.118
2026-08-27 11:53:57,894 | INFO    | uav_swarm_ppo.ppo.evaluate | Loaded VecNormalize statistics from results\models\vecnormalize_100000_steps.pkl (forced training=False, norm_reward=False).
2026-08-27 11:54:02,833 | INFO    | uav_swarm_ppo.ppo.evaluate | Loaded model from results\models\ppo_swarm_100000_steps.zip
2026-08-27 11:54:08,471 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 0: reward=-422312.88 coverage=0.252 collisions={'uav_uav': 274, 'uav_static_obstacle': 33, 'uav_dynamic_obstacle': 5, 'uav_boundary': 1357}
2026-08-27 11:54:13,823 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 1: reward=-265473.19 coverage=0.468 collisions={'uav_uav': 50, 'uav_static_obstacle': 20, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1187}
2026-08-27 11:54:15,322 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 2: reward=-252459.19 coverage=0.431 collisions={'uav_uav': 20, 'uav_static_obstacle': 23, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1173}
2026-08-27 11:54:16,984 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 3: reward=-308045.03 coverage=0.320 collisions={'uav_uav': 96, 'uav_static_obstacle': 2, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1298}
2026-08-27 11:54:22,582 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 4: reward=-361593.13 coverage=0.178 collisions={'uav_uav': 120, 'uav_static_obstacle': 7, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1410}
2026-08-27 11:54:28,829 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 5: reward=-309308.46 coverage=0.410 collisions={'uav_uav': 126, 'uav_static_obstacle': 7, 'uav_dynamic_obstacle': 5, 'uav_boundary': 1240}
2026-08-27 11:54:34,676 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 6: reward=-284034.45 coverage=0.379 collisions={'uav_uav': 60, 'uav_static_obstacle': 4, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1273}
2026-08-27 11:54:40,413 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 7: reward=-306505.45 coverage=0.159 collisions={'uav_uav': 26, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1365}
2026-08-27 11:54:46,149 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 8: reward=-301359.59 coverage=0.180 collisions={'uav_uav': 2, 'uav_static_obstacle': 11, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1369}
2026-08-27 11:54:52,013 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 9: reward=-283807.22 coverage=0.270 collisions={'uav_uav': 24, 'uav_static_obstacle': 1, 'uav_dynamic_obstacle': 3, 'uav_boundary': 1282}
2026-08-27 11:54:52,015 | INFO    | uav_swarm_ppo.ppo.evaluate | Evaluation over 10 episodes: reward mean=-309489.86 std=46923.82 | coverage mean=0.305 std=0.108
2026-08-27 14:38:56,181 | INFO    | uav_swarm_ppo.ppo.evaluate | Loaded VecNormalize statistics from results\models\vecnormalize_1000000_steps.pkl (forced training=False, norm_reward=False).
2026-08-27 14:38:58,746 | INFO    | uav_swarm_ppo.ppo.evaluate | Loaded model from results\models\ppo_swarm_1000000_steps.zip
2026-08-27 14:38:59,959 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 0: reward=-129730.29 coverage=0.812 collisions={'uav_uav': 0, 'uav_static_obstacle': 31, 'uav_dynamic_obstacle': 1, 'uav_boundary': 749}
2026-08-27 14:39:01,362 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 1: reward=-153240.14 coverage=0.587 collisions={'uav_uav': 0, 'uav_static_obstacle': 19, 'uav_dynamic_obstacle': 2, 'uav_boundary': 765}
2026-08-27 14:39:02,559 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 2: reward=-164491.04 coverage=0.569 collisions={'uav_uav': 0, 'uav_static_obstacle': 34, 'uav_dynamic_obstacle': 0, 'uav_boundary': 911}
2026-08-27 14:39:03,885 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 3: reward=-94950.92 coverage=0.785 collisions={'uav_uav': 6, 'uav_static_obstacle': 21, 'uav_dynamic_obstacle': 1, 'uav_boundary': 540}
2026-08-27 14:39:05,079 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 4: reward=-184897.24 coverage=0.698 collisions={'uav_uav': 38, 'uav_static_obstacle': 85, 'uav_dynamic_obstacle': 1, 'uav_boundary': 700}
2026-08-27 14:39:06,338 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 5: reward=-135400.65 coverage=0.750 collisions={'uav_uav': 4, 'uav_static_obstacle': 20, 'uav_dynamic_obstacle': 5, 'uav_boundary': 752}
2026-08-27 14:39:07,573 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 6: reward=-154841.44 coverage=0.665 collisions={'uav_uav': 16, 'uav_static_obstacle': 32, 'uav_dynamic_obstacle': 0, 'uav_boundary': 735}
2026-08-27 14:39:08,821 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 7: reward=-115998.77 coverage=0.736 collisions={'uav_uav': 0, 'uav_static_obstacle': 28, 'uav_dynamic_obstacle': 2, 'uav_boundary': 632}
2026-08-27 14:39:10,032 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 8: reward=-108272.61 coverage=0.730 collisions={'uav_uav': 4, 'uav_static_obstacle': 16, 'uav_dynamic_obstacle': 2, 'uav_boundary': 612}
2026-08-27 14:39:11,238 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 9: reward=-119611.04 coverage=0.755 collisions={'uav_uav': 0, 'uav_static_obstacle': 36, 'uav_dynamic_obstacle': 2, 'uav_boundary': 616}
2026-08-27 14:39:11,239 | INFO    | uav_swarm_ppo.ppo.evaluate | Evaluation over 10 episodes: reward mean=-136143.41 std=26489.33 | coverage mean=0.709 std=0.076
2026-09-02 00:15:54,024 | WARNING | uav_swarm_ppo.ppo.evaluate | No vecnormalize_path provided -- evaluating with RAW (unnormalized) observations. If this model was trained with VecNormalize enabled (the default, see PPOConfig/VecNormalizeConfig), this will produce meaningless results. Pass --vecnormalize explicitly unless you are certain this model was trained without normalization.
2026-09-02 00:15:56,968 | INFO    | uav_swarm_ppo.ppo.evaluate | Loaded model from results/models/ppo_swarm_final.zip
2026-09-02 00:15:58,218 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 0: reward=-170968.91 coverage=0.455 collisions={'uav_uav': 2, 'uav_static_obstacle': 38, 'uav_dynamic_obstacle': 0, 'uav_boundary': 934}
2026-09-02 00:15:59,450 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 1: reward=-376781.97 coverage=0.213 collisions={'uav_uav': 218, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1283}
2026-09-02 00:16:00,972 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 2: reward=-309263.75 coverage=0.149 collisions={'uav_uav': 0, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1436}
2026-09-02 00:16:02,222 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 3: reward=-256860.95 coverage=0.351 collisions={'uav_uav': 38, 'uav_static_obstacle': 12, 'uav_dynamic_obstacle': 5, 'uav_boundary': 1293}
2026-09-02 00:16:03,347 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 4: reward=-424363.03 coverage=0.274 collisions={'uav_uav': 336, 'uav_static_obstacle': 3, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1294}
2026-09-02 00:16:04,510 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 5: reward=-382841.09 coverage=0.303 collisions={'uav_uav': 326, 'uav_static_obstacle': 6, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1225}
2026-09-02 00:16:05,835 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 6: reward=-226477.54 coverage=0.255 collisions={'uav_uav': 0, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1254}
2026-09-02 00:16:06,977 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 7: reward=-389647.41 coverage=0.169 collisions={'uav_uav': 294, 'uav_static_obstacle': 1, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1401}
2026-09-02 00:16:08,134 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 8: reward=-290407.13 coverage=0.259 collisions={'uav_uav': 0, 'uav_static_obstacle': 5, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1388}
2026-09-02 00:16:09,307 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 9: reward=-205861.34 coverage=0.547 collisions={'uav_uav': 24, 'uav_static_obstacle': 52, 'uav_dynamic_obstacle': 5, 'uav_boundary': 890}
2026-09-02 00:16:10,338 | INFO    | uav_swarm_ppo.ppo.evaluate | Evaluation over 10 episodes: reward mean=-303347.31 std=83129.04 | coverage mean=0.298 std=0.118
