#{"t_start": 1788280879.1170115, "env_id": "None"}
r,l,t
-205386.737414,500,5647.700772
-252363.462717,500,5658.304182
-266903.39163,500,5673.132804
-335305.570814,500,5678.543677
-220110.252299,500,5684.002596
-175752.219046,500,5694.602535
-189981.374746,500,5699.996217
-200390.593538,500,5712.883686
-203954.960397,500,5717.17202
-190501.741647,500,5725.810434
-226640.790268,500,5730.078603
-224970.455715,500,5734.560807
-159583.89819,500,5746.712688
-237697.207024,500,5755.299205
-149812.543312,500,5759.711791
-262724.41879,500,5764.102867
-190765.809385,500,5768.482254
-175865.833517,500,5784.490148
-248565.041913,500,5788.960438
-187925.23817,500,5793.382975
-232596.755538,500,5797.941522
-232679.873899,500,5806.781554
-290171.325492,500,5818.859643
-289619.32275,500,5823.310086
-135404.063977,500,5827.694685
-339728.877017,500,5832.113522
-222455.50025,500,5840.712228
-252488.411101,500,5853.239239
-122509.277875,500,5857.671889
-190127.872369,500,5862.188912
-189952.037064,500,5872.712912
-127629.387966,500,5878.113293
-156514.775737,500,5891.025259
-166517.309641,500,5895.433378
-178123.593981,500,5904.006894
-279805.327985,500,5908.636386
-156846.46541,500,5913.215604
-294429.370003,500,5925.480017
-210171.442391,500,5934.000611
-179430.882765,500,5938.545055
-227644.004801,500,5943.373417
-201015.527861,500,5947.911543
-133444.463201,500,5964.325749
-118480.155822,500,5968.93388
-263002.681108,500,5973.526146
-172516.752547,500,5978.033468
-109227.902406,500,5986.798719
-298416.838521,500,5999.127289
-382458.345307,500,6003.765162
-283309.824834,500,6008.262538
-177785.364495,500,6016.665504
-270014.292909,500,6021.295021
-237536.790145,500,6033.623752
-313676.772478,500,6038.099571
-184791.20689,500,6047.660857
-109957.967008,500,6052.217434
-144008.889117,500,6056.789572
-156352.932199,500,6069.120351
-152881.524721,500,6077.764556
-198093.085237,500,6082.331854
-81523.925303,500,6086.789825
-145327.859325,500,6091.395872
-181806.580551,500,6107.838161
-155116.825344,500,6112.487057
-191814.883217,500,6117.14039
-198358.793754,500,6121.718585
-221346.297458,500,6126.583486
-151175.916485,500,6142.493457
-187275.768341,500,6147.231205
-198405.260268,500,6151.809874
