custom/valid_action_fraction_mean,custom/reward_uav_separation_mean,time/iterations,rollout/ep_rew_mean,custom/reward_energy_efficiency_mean,custom/reward_collision_avoidance_mean,custom/coverage_fraction_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,rollout/ep_len_mean,custom/reward_mission_completion_mean,time/total_timesteps,custom/reward_total_mean,custom/collisions_uav_uav_mean,custom/collisions_uav_static_obstacle_mean,custom/reward_dynamic_obstacle_avoidance_mean,time/time_elapsed,custom/reward_boundary_mean,custom/reward_exploration_mean,time/fps,custom/reward_coverage_mean,train/policy_gradient_loss,eval/mean_ep_length,train/value_loss,train/learning_rate,train/approx_kl,eval/mean_reward,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/loss
,,,,,,,,,,,210000,,,,,,,,,,-0.1176119277588441,500.0,0.003711460830345459,0.0003,0.19221127,-266618.3269136,0.2,0.6697021484375,250,-3.795780135691166,0.9241636991500854,-0.19291414320468903
0.08401534453245668,-38.70390212783542,26,-288420.1036519,-17.511290493926275,-23.5,0.30962085029177866,1.25,443.52,500.0,0.0,212992,-686.7432356750863,8.04,8.89,-6.151654794723457,2288,-596.1971000000001,0.3617403128272694,93,-5.04102857142857,,,,,,,,,,,,
,,,,,,,,,,,220000,,,,,,,,,,-0.11559403285646112,500.0,0.0032336050182948384,0.0003,0.18423554,-243845.7538522,0.2,0.672509765625,260,-3.74618136882782,0.8816077709197998,-0.17994606494903564
0.06551040613345283,-1.3608101802464956,27,-282115.87042845995,-15.580734217161803,-14.0,0.2927970986650904,1.25,640.76,500.0,0.0,221184,-640.4960431520481,10.0,7.43,-1.6820404860637455,2405,-604.7005000000001,0.10857276590686203,91,-3.280531034482757,,,,,,,,,,,,
0.07659445633786702,-0.3862382894898546,28,-282760.6696696,-19.965845313358987,-26.0,0.3946533249593616,2.25,678.86,500.0,0.0,229376,-515.812389821388,19.5,9.21,-5.604704509521193,2489,-491.11550000000005,1.3444476857328518,92,25.915450605249216,-0.1192896268221375,,0.002342918283693507,0.0003,0.20561051,,0.2,0.68441162109375,270,-3.699123617261648,0.9239370226860046,-0.18021723628044128
,,,,,,,,,,,230000,,,,,,,,,,-0.11512514402129455,500.0,0.002588440245608581,0.0003,0.22503757,-260475.77064299997,0.2,0.675927734375,280,-3.682126669585705,0.8830803632736206,-0.18054944276809692
0.06449691690981287,-0.4496074191725484,29,-279401.42371303996,-18.68929850161039,0.0,0.3808144918969509,2.45,820.49,500.0,0.0,237568,-660.4816314358999,9.5,7.75,-7.402418067009457,2525,-625.9658000000002,0.12189255189255191,94,-8.0964,,,,,,,,,,,,
,,,,,,,,,,,240000,,,,,,,,,,-0.118930353000178,500.0,0.002684597959341772,0.0003,0.2287367,-266749.7017236,0.2,0.69749755859375,290,-3.6615251578390597,0.9210155606269836,-0.18174351751804352
0.052248900794339005,-44.95705253820766,30,-274610.8689499099,-17.64529969678928,-11.5,0.3482460396039604,0.75,989.02,500.0,0.0,245760,-692.7819853644027,69.82,5.13,-0.5369648295940029,2560,-616.9658000000002,0.20499485808309337,95,-1.381863157894736,,,,,,,,,,,,
,,,,,,,,,,,250000,,,,,,,,,,-0.11884822174033616,500.0,0.0027646483038552107,0.0003,0.21931744,-292829.3098696,0.2,0.6786376953125,300,-3.630734361708164,0.9199131727218628,-0.18427999317646027
