2026-08-28 00:18:44,705 | INFO    | uav_swarm_ppo.episode_logger | Episode 34 ended: steps=500 total_reward=-326229.47 coverage=0.265 valid_action_frac=0.033 collisions={'uav_uav': 228, 'uav_static_obstacle': 1, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1279}
2026-08-28 00:18:45,144 | INFO    | uav_swarm_ppo.episode_logger | Episode 35 started (seed=76).
2026-08-28 00:18:47,128 | INFO    | uav_swarm_ppo.episode_logger | Episode 35 ended: steps=500 total_reward=-384211.74 coverage=0.520 valid_action_frac=0.067 collisions={'uav_uav': 348, 'uav_static_obstacle': 7, 'uav_dynamic_obstacle': 6, 'uav_boundary': 1196}
2026-08-28 00:18:47,532 | INFO    | uav_swarm_ppo.episode_logger | Episode 36 started (seed=77).
2026-08-28 00:18:49,286 | INFO    | uav_swarm_ppo.episode_logger | Episode 36 ended: steps=500 total_reward=-406345.77 coverage=0.480 valid_action_frac=0.062 collisions={'uav_uav': 398, 'uav_static_obstacle': 13, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1125}
2026-08-28 00:18:49,721 | INFO    | uav_swarm_ppo.episode_logger | Episode 37 started (seed=78).
2026-08-28 00:18:51,709 | INFO    | uav_swarm_ppo.episode_logger | Episode 37 ended: steps=500 total_reward=-230532.23 coverage=0.520 valid_action_frac=0.068 collisions={'uav_uav': 40, 'uav_static_obstacle': 44, 'uav_dynamic_obstacle': 4, 'uav_boundary': 960}
2026-08-28 00:18:52,102 | INFO    | uav_swarm_ppo.episode_logger | Episode 38 started (seed=79).
2026-08-28 00:18:53,934 | INFO    | uav_swarm_ppo.episode_logger | Episode 38 ended: steps=500 total_reward=-426560.96 coverage=0.557 valid_action_frac=0.073 collisions={'uav_uav': 530, 'uav_static_obstacle': 8, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1148}
2026-08-28 00:18:54,330 | INFO    | uav_swarm_ppo.episode_logger | Episode 39 started (seed=80).
2026-08-28 00:18:56,268 | INFO    | uav_swarm_ppo.episode_logger | Episode 39 ended: steps=500 total_reward=-162487.76 coverage=0.609 valid_action_frac=0.080 collisions={'uav_uav': 16, 'uav_static_obstacle': 3, 'uav_dynamic_obstacle': 4, 'uav_boundary': 883}
2026-08-28 00:18:56,839 | INFO    | uav_swarm_ppo.episode_logger | Episode 40 started (seed=81).
2026-08-28 00:18:58,886 | INFO    | uav_swarm_ppo.episode_logger | Episode 40 ended: steps=500 total_reward=-396054.80 coverage=0.500 valid_action_frac=0.065 collisions={'uav_uav': 418, 'uav_static_obstacle': 9, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1200}
2026-08-28 00:18:59,624 | INFO    | uav_swarm_ppo.episode_logger | Episode 41 started (seed=82).
2026-08-28 00:19:02,018 | INFO    | uav_swarm_ppo.episode_logger | Episode 41 ended: steps=500 total_reward=-319234.54 coverage=0.502 valid_action_frac=0.065 collisions={'uav_uav': 264, 'uav_static_obstacle': 3, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1070}
2026-08-28 00:19:02,438 | INFO    | uav_swarm_ppo.episode_logger | Episode 42 started (seed=83).
2026-08-28 00:19:04,385 | INFO    | uav_swarm_ppo.episode_logger | Episode 42 ended: steps=500 total_reward=-651296.50 coverage=0.527 valid_action_frac=0.069 collisions={'uav_uav': 952, 'uav_static_obstacle': 4, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1236}
2026-08-28 00:19:04,854 | INFO    | uav_swarm_ppo.episode_logger | Episode 43 started (seed=84).
2026-08-28 00:19:07,022 | INFO    | uav_swarm_ppo.episode_logger | Episode 43 ended: steps=500 total_reward=-465743.28 coverage=0.471 valid_action_frac=0.062 collisions={'uav_uav': 486, 'uav_static_obstacle': 26, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1201}
2026-08-28 00:19:07,467 | INFO    | uav_swarm_ppo.episode_logger | Episode 44 started (seed=85).
2026-08-28 00:19:09,374 | INFO    | uav_swarm_ppo.episode_logger | Episode 44 ended: steps=500 total_reward=-239205.51 coverage=0.607 valid_action_frac=0.079 collisions={'uav_uav': 76, 'uav_static_obstacle': 10, 'uav_dynamic_obstacle': 4, 'uav_boundary': 1136}
2026-08-28 00:19:09,755 | INFO    | uav_swarm_ppo.episode_logger | Episode 45 started (seed=86).
2026-08-28 00:19:11,646 | INFO    | uav_swarm_ppo.episode_logger | Episode 45 ended: steps=500 total_reward=-566708.10 coverage=0.559 valid_action_frac=0.073 collisions={'uav_uav': 794, 'uav_static_obstacle': 12, 'uav_dynamic_obstacle': 3, 'uav_boundary': 1090}
2026-08-28 00:19:12,096 | INFO    | uav_swarm_ppo.episode_logger | Episode 46 started (seed=87).
2026-08-28 00:19:13,932 | INFO    | uav_swarm_ppo.episode_logger | Episode 46 ended: steps=500 total_reward=-325689.31 coverage=0.119 valid_action_frac=0.014 collisions={'uav_uav': 80, 'uav_static_obstacle': 1, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1446}
2026-08-28 00:19:14,336 | INFO    | uav_swarm_ppo.episode_logger | Episode 47 started (seed=88).
2026-08-28 00:19:16,145 | INFO    | uav_swarm_ppo.episode_logger | Episode 47 ended: steps=500 total_reward=-245919.62 coverage=0.690 valid_action_frac=0.090 collisions={'uav_uav': 172, 'uav_static_obstacle': 23, 'uav_dynamic_obstacle': 6, 'uav_boundary': 977}
2026-08-28 00:19:16,592 | INFO    | uav_swarm_ppo.episode_logger | Episode 48 started (seed=89).
2026-08-28 00:19:18,607 | INFO    | uav_swarm_ppo.episode_logger | Episode 48 ended: steps=500 total_reward=-241676.78 coverage=0.578 valid_action_frac=0.077 collisions={'uav_uav': 92, 'uav_static_obstacle': 11, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1190}
2026-08-28 00:19:19,043 | INFO    | uav_swarm_ppo.episode_logger | Episode 49 started (seed=90).
2026-08-28 00:19:20,987 | INFO    | uav_swarm_ppo.episode_logger | Episode 49 ended: steps=500 total_reward=-327620.38 coverage=0.458 valid_action_frac=0.059 collisions={'uav_uav': 312, 'uav_static_obstacle': 18, 'uav_dynamic_obstacle': 4, 'uav_boundary': 1082}
2026-08-28 00:19:21,375 | INFO    | uav_swarm_ppo.episode_logger | Episode 50 started (seed=91).
2026-08-28 00:19:23,339 | INFO    | uav_swarm_ppo.episode_logger | Episode 50 ended: steps=500 total_reward=-186013.72 coverage=0.695 valid_action_frac=0.091 collisions={'uav_uav': 0, 'uav_static_obstacle': 17, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1012}
2026-08-28 00:19:23,723 | INFO    | uav_swarm_ppo.episode_logger | Episode 51 started (seed=92).
2026-08-28 00:19:25,467 | INFO    | uav_swarm_ppo.episode_logger | Episode 51 ended: steps=500 total_reward=-168384.12 coverage=0.767 valid_action_frac=0.101 collisions={'uav_uav': 0, 'uav_static_obstacle': 14, 'uav_dynamic_obstacle': 0, 'uav_boundary': 972}
2026-08-28 00:19:25,850 | INFO    | uav_swarm_ppo.episode_logger | Episode 52 started (seed=93).
2026-08-28 00:19:27,884 | INFO    | uav_swarm_ppo.episode_logger | Episode 52 ended: steps=500 total_reward=-226654.89 coverage=0.645 valid_action_frac=0.085 collisions={'uav_uav': 68, 'uav_static_obstacle': 58, 'uav_dynamic_obstacle': 3, 'uav_boundary': 931}
2026-08-28 00:19:28,284 | INFO    | uav_swarm_ppo.episode_logger | Episode 53 started (seed=94).
2026-08-28 00:19:30,054 | INFO    | uav_swarm_ppo.episode_logger | Episode 53 ended: steps=500 total_reward=-234147.70 coverage=0.715 valid_action_frac=0.093 collisions={'uav_uav': 218, 'uav_static_obstacle': 19, 'uav_dynamic_obstacle': 0, 'uav_boundary': 829}
2026-08-28 00:19:30,433 | INFO    | uav_swarm_ppo.episode_logger | Episode 54 started (seed=95).
2026-08-28 00:19:32,518 | INFO    | uav_swarm_ppo.episode_logger | Episode 54 ended: steps=500 total_reward=-229338.53 coverage=0.740 valid_action_frac=0.097 collisions={'uav_uav': 174, 'uav_static_obstacle': 19, 'uav_dynamic_obstacle': 1, 'uav_boundary': 898}
2026-08-28 00:19:32,986 | INFO    | uav_swarm_ppo.episode_logger | Episode 55 started (seed=96).
2026-08-28 00:19:34,783 | INFO    | uav_swarm_ppo.episode_logger | Episode 55 ended: steps=500 total_reward=-583190.54 coverage=0.512 valid_action_frac=0.067 collisions={'uav_uav': 906, 'uav_static_obstacle': 5, 'uav_dynamic_obstacle': 3, 'uav_boundary': 988}
2026-08-28 00:19:35,199 | INFO    | uav_swarm_ppo.episode_logger | Episode 56 started (seed=97).
2026-08-28 00:19:37,254 | INFO    | uav_swarm_ppo.episode_logger | Episode 56 ended: steps=500 total_reward=-270922.12 coverage=0.234 valid_action_frac=0.029 collisions={'uav_uav': 106, 'uav_static_obstacle': 9, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1391}
2026-08-28 00:19:37,715 | INFO    | uav_swarm_ppo.episode_logger | Episode 57 started (seed=98).
2026-08-28 00:19:39,596 | INFO    | uav_swarm_ppo.episode_logger | Episode 57 ended: steps=500 total_reward=-544914.60 coverage=0.390 valid_action_frac=0.050 collisions={'uav_uav': 652, 'uav_static_obstacle': 5, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1293}
2026-08-28 00:19:40,116 | INFO    | uav_swarm_ppo.episode_logger | Episode 58 started (seed=99).
2026-08-28 00:19:41,911 | INFO    | uav_swarm_ppo.episode_logger | Episode 58 ended: steps=500 total_reward=-595033.98 coverage=0.153 valid_action_frac=0.019 collisions={'uav_uav': 650, 'uav_static_obstacle': 2, 'uav_dynamic_obstacle': 4, 'uav_boundary': 1406}
2026-08-28 00:19:42,278 | INFO    | uav_swarm_ppo.episode_logger | Episode 59 started (seed=100).
