#{"t_start": 1787812824.3871856, "env_id": "None"}
r,l,t
-214864.369491,500,7879.486795
-160149.978165,500,7883.860983
-212828.88732,500,7895.701818
-203952.039442,500,7904.402836
-278180.332356,500,7908.811217
-194841.706711,500,7913.055132
-213853.648602,500,7917.354309
-182559.633098,500,7932.829775
-174202.730546,500,7937.227315
-151801.104192,500,7941.488777
-236964.465567,500,7945.744013
-162372.299071,500,7954.148956
-198701.626115,500,7966.013208
-107340.257518,500,7970.382431
-121205.333162,500,7974.753748
-139517.697581,500,7983.044126
-120768.898027,500,7987.247164
-172014.592291,500,7998.964635
-183181.028718,500,8003.186264
-150839.37137,500,8011.295788
-116500.048378,500,8015.506734
-251111.771227,500,8019.986264
-169264.70333,500,8031.398747
-183648.359076,500,8039.559387
-228986.030272,500,8043.768213
-203183.323416,500,8047.930472
-179517.918538,500,8052.213316
-208296.022274,500,8063.311666
-263060.378989,500,8071.562449
-234394.998991,500,8076.041553
-99798.430294,500,8080.820289
-184530.126184,500,8085.160233
-280684.129082,500,8100.317093
-100260.07703,500,8104.583612
-189805.508087,500,8108.803482
-147995.334061,500,8113.089966
-133061.382794,500,8121.257845
-218303.754366,500,8132.708352
-176489.238941,500,8137.087843
-205476.541783,500,8141.558755
-99173.18298,500,8149.817436
-162572.648707,500,8154.384966
-124977.891152,500,8165.963622
-193494.15298,500,8170.191634
-192421.921735,500,8178.292968
-148141.818749,500,8182.498749
-97144.503919,500,8186.756965
-96700.251484,500,8198.411855
-208475.094467,500,8206.609198
-209930.435802,500,8210.826716
-208879.686217,500,8215.076977
-177199.359718,500,8219.386941
-223883.685988,500,8234.761102
-169613.204763,500,8239.00051
-241248.854702,500,8243.193343
-153410.713294,500,8247.42987
-107086.551904,500,8255.653831
-183598.318045,500,8267.124945
-138169.227566,500,8271.242884
-277090.97778,500,8275.505195
